供应商ID,品类,供货总量,供货满足率,安全指数_I,排名
S229,A,354887.0,0.9458333333333333,1.0,1
S361,C,328080.0,0.8791666666666667,0.919993205115787,2
S140,B,302047.0,0.8863636363636364,0.9008030372844988,3
S108,B,240950.0,0.9458333333333333,0.8336160474229272,4
S151,C,194498.0,0.9541666666666667,0.7783228523559433,5
S340,B,171426.0,0.9416666666666667,0.7622238633019387,6
S282,A,169340.0,0.9875,0.7617191403263034,7
S275,A,158553.0,0.9458333333333333,0.7396453058642803,8
S139,B,151862.0,0.96875,0.7303556472134852,9
S329,A,156518.0,0.9416666666666667,0.729285285653651,10
S356,C,130307.0,0.95,0.7108300335227483,11
S131,B,137512.0,0.9083333333333333,0.7074604677273352,12
S330,B,136652.0,0.9125,0.7050813030002284,13
S306,C,126096.0,0.9541666666666667,0.6950583513526818,14
S308,B,136998.0,0.9166666666666666,0.6824899818502775,15
S194,C,101365.0,0.9458333333333333,0.6802646727547975,16
S268,C,129786.0,0.9375,0.6780455195035492,17
S348,A,92421.0,0.9195979899497487,0.6652534463057714,18
S352,A,89031.0,0.9166666666666666,0.6426096447245061,19
S143,A,82787.0,0.8958333333333334,0.6414170157832851,20
S374,C,49224.0,0.9958333333333333,0.6069470799669863,21
S247,C,56698.0,0.9458333333333333,0.6044938973712539,22
S284,C,46597.0,1.0,0.6043244705387738,23
S307,A,78196.0,0.9709302325581395,0.599345832839656,24
S365,C,41631.0,0.95,0.5835495006621896,25
S031,B,41207.0,0.925,0.5782932895381254,26
S273,A,9484.0,0.8383838383838383,0.5663488717794369,27
S364,B,28763.0,0.9416666666666667,0.5633305710856135,28
S294,C,18842.0,0.8791666666666667,0.5608469831459864,29
S338,B,30109.0,0.9411764705882353,0.557944678058367,30
S055,B,24041.0,0.9,0.5575227850736868,31
S367,B,26335.0,0.9,0.5553478613873599,32
S218,C,15483.0,0.9291666666666667,0.5521630666923563,33
S244,C,16406.0,0.8708333333333333,0.5511908113823752,34
S040,B,31905.0,0.9041666666666667,0.5493874263257,35
S193,B,101.0,0.8,0.544777272029523,36
S346,B,23240.0,0.8708333333333333,0.5447734902948704,37
S266,A,6519.0,0.8708333333333333,0.540620276980726,38
S080,C,19237.0,0.875,0.5395399985195682,39
S154,A,7634.0,0.6153846153846154,0.5303767249125871,40
S291,A,7984.0,0.8603603603603603,0.5268945872247791,41
S150,A,1806.0,0.7958333333333333,0.5222433817877037,42
S114,A,10931.0,0.8528138528138528,0.5119121628965168,43
S007,A,6948.0,0.8666666666666667,0.5115068747270121,44
S086,C,17949.0,0.8421052631578947,0.5099839205412074,45
S123,A,6449.0,0.8083333333333333,0.5067991895990929,46
S098,B,413.0,0.9282296650717703,0.5003012525505909,47
S395,A,75843.0,0.8690476190476191,0.49288382916717605,48
S037,C,50686.0,0.9006211180124224,0.49228588259999007,49
S067,C,233.0,0.9881656804733728,0.48442350979791926,50
