供应商ID,品类,供货总量,供货满足率,供订CV差,可靠性趋势,安全指数_I,排名
S361,C,328080.0,0.8791666666666667,-0.01504576376162492,-0.07499999999999996,1.0,1
S140,B,302047.0,0.8863636363636364,0.7046615030803451,-0.027272727272727337,0.886190682762447,2
S151,C,194498.0,0.9541666666666667,-0.3638553791633954,0.008333333333333415,0.8784126102756555,3
S108,B,240950.0,0.9458333333333333,-0.09354656158920172,-0.025000000000000022,0.8397784302497358,4
S356,C,130307.0,0.95,-0.021333344128047327,0.033333333333333326,0.8212739323706878,5
S306,C,126096.0,0.9541666666666667,-0.005254532092567182,-0.008333333333333415,0.817333869903767,6
S268,C,129786.0,0.9375,0.0003044591650925299,-0.07499999999999996,0.8168657176995547,7
S194,C,101365.0,0.9458333333333333,-0.007191908466964547,0.05833333333333335,0.7930577841549832,8
S340,B,171426.0,0.9416666666666667,-0.005440254238954556,0.033333333333333326,0.7738647519306309,9
S139,B,151862.0,0.96875,0.222806611837989,0.02622976959260137,0.7491977223331123,10
S247,C,56698.0,0.9458333333333333,-0.007465799909488924,-0.008333333333333304,0.748188853957011,11
S374,C,49224.0,0.9958333333333333,-0.10881471123574116,0.008333333333333304,0.74811074900565,12
S284,C,46597.0,1.0,-0.0193083681179107,0.0,0.7475865147619917,13
S229,A,354887.0,0.9458333333333333,-0.016437292175966234,0.04166666666666663,0.7406882867102644,14
S131,B,137512.0,0.9083333333333333,-0.008989509720025546,0.016666666666666607,0.7346932350492994,15
S365,C,41631.0,0.95,-0.01375288201700886,-0.01666666666666672,0.7339415398811109,16
S330,B,136652.0,0.9125,-0.5577383531305988,0.05833333333333335,0.7262689433264926,17
S308,B,136998.0,0.9166666666666666,-0.6764582372931048,-0.01666666666666672,0.7238827533115353,18
S218,C,15483.0,0.9291666666666667,-0.04341087586795278,0.008333333333333304,0.7048666443660752,19
S294,C,18842.0,0.8791666666666667,-0.028761519200848906,0.05833333333333335,0.700794646001808,20
S080,C,19237.0,0.875,-0.03247746225586923,-0.016666666666666607,0.6989382371691494,21
S244,C,16406.0,0.8708333333333333,-0.22426404694155055,0.05833333333333335,0.6937438362392038,22
S086,C,17949.0,0.8421052631578947,0.6116983081093257,-0.043322952921780455,0.6760040908674118,23
S037,C,50686.0,0.9006211180124224,-0.0008493632884558622,-0.08852713178294569,0.6691154566745277,24
S076,C,376.0,0.9154228855721394,-0.05886294265057884,-0.027332144979203776,0.6536655146602459,25
S003,C,13138.0,0.8542713567839196,-0.12006398015188346,-0.01444736310365724,0.6502407047740302,26
S067,C,233.0,0.9881656804733728,0.15276867876266143,0.0009820426487093803,0.6484682164161869,27
S031,B,41207.0,0.925,-0.004036005840866358,-0.01666666666666672,0.6430589389162769,28
S213,C,246.0,0.9578313253012049,0.11469034391539157,-0.010021786492374729,0.6378081962703182,29
S364,B,28763.0,0.9416666666666667,-0.0974237959497748,-0.016666666666666607,0.6322280506060726,30
S129,C,1525.0,0.7783251231527094,-0.0039611700153532325,0.05144632110269853,0.6298877327849968,31
S040,B,31905.0,0.9041666666666667,-0.05437284784986962,-0.05833333333333335,0.6287666086409994,32
S314,C,1670.0,0.7787234042553192,-2.380240933858211,0.028397565922920975,0.6233391441466627,33
S074,C,13051.0,0.7213114754098361,0.42405546434077945,0.07955088389871001,0.6228222212136296,34
S367,B,26335.0,0.9,-0.14772064397028828,0.0,0.6222101917445709,35
S055,B,24041.0,0.9,-0.12894799907773824,0.016666666666666607,0.6206105140623767,36
S126,C,47540.0,0.84,0.7870040396728202,-0.006402561024409725,0.6194537660701483,37
S338,B,30109.0,0.9411764705882353,0.28533319534499624,0.038065942516581686,0.6131224650328613,38
S346,B,23240.0,0.8708333333333333,-0.4596399354570522,0.025000000000000022,0.6095016198015316,39
S245,C,386.0,0.803680981595092,0.019528588739111008,-0.08574442435201923,0.599985176420647,40
S113,C,385.0,0.9015151515151515,-0.137569986884427,0.006211180124223614,0.5958882685497215,41
S025,C,375.0,0.8592592592592593,-0.073950982244126,0.034065934065934056,0.5902382467124322,42
S098,B,413.0,0.9282296650717703,-0.3406902640322409,0.026653233192892478,0.5728646467143389,43
S362,C,91.0,0.9857142857142858,0.18516600565556113,-0.025000000000000022,0.570825718871337,44
S210,C,15694.0,0.6618705035971223,0.13480657639453364,0.0091324200913242,0.5681626143550781,45
S282,A,169340.0,0.9875,-0.0036556030297106856,0.008333333333333415,0.566435182981045,46
S263,C,427.0,0.7894736842105263,-1.1500641282463704,-0.0013910624239262814,0.5643909526303136,47
S239,C,430.0,0.9862068965517241,-3.9466153144379974,-0.0017188693659281329,0.5616791373386993,48
S110,C,426.0,0.7077922077922078,-0.5104684739745088,-0.05888342100797561,0.5568069401019596,49
S253,C,223.0,0.9305555555555556,-0.11733894507006637,-0.04510638297872338,0.5553136656002011,50
